compound_form,compound_form_normalized,PhoneticVersion_Compound,reading_status,reading_source,nested_in_forms,component_reading_inferred
|GISAL.GAD.GAR.A.SI.A|,GISAL.GAD.GAR.A.SI.A,addirₓ,ATTESTED_DIRECT,OSL,,gisal-gad-ga4-'u4-hux(si)-'u4
|GISAL.PAD.A.SI|,GISAL.PAD.A.SI,addirₓ,ATTESTED_DIRECT,OSL,,gisal-gisal-bad2-bad2-'u4-'u4-hux(si)-hux(si)
|GISAL.PAD.SI.A|,GISAL.PAD.SI.A,ADDIRX(|GISAL.PAD.SI.A|)|AUX(|GISAL.PAD.SI.A|)|GISAL.PAD.SI.A|SAMANX(|GISAL.PAD.SI.A|)|addirx(|GISAL.PAD.SI.A|)|aux(|GISAL.PAD.SI.A|)|samanx(|GISAL.PAD.SI.A|),ATTESTED_DIRECT,SYLLABARY_CM,,gisal-bad2-hux(si)-'u4
|GISAL.PAD.SI|,GISAL.PAD.SI,,NESTED_IN_LONGER_FORM,,A.PA.GISAL.PAD.SI.A; GISAL.PAD.SI.A,gisal-bad2-hux(si)
|GISAL.SI.A|,GISAL.SI.A,,NESTED_IN_LONGER_FORM,,PA.GISAL.SI.A.PAD; PA.GISAL.SI.A,gisal-hux(si)-'u4
|GISAL.SI|,GISAL.SI,,NESTED_IN_LONGER_FORM,,PA.GISAL.SI.A.PAD; PA.GISAL.SI.A,gisal-hux(si)
|GISAL×A.GAD.GAR.A.SI.A|,GISAL×A.GAD.GAR.A.SI.A,addirₓ,ATTESTED_DIRECT,OSL,,
|GI×TAK₄|,GI×TAK4,gitag,ATTESTED_DIRECT,OSL,,ešša3-azad2
|GIŠ%GIŠ.NUN|,GIŠ%GIŠ.NUN,buranunₓ,ATTESTED_DIRECT,OGSL,,adamen₃-adamen₃-...ri-...ri
|GIŠ%GIŠ.ZA|,GIŠ%GIŠ.ZA,lirumₓ,ATTESTED_DIRECT,OSL,,adamen₃-sa3
|GIŠ&GIŠ|,GIŠ&GIŠ,,NO_ATTESTED_READING,,,es-es
|GIŠ.BAD|,GIŠ.BAD,mišsun,ATTESTED_DIRECT,OSL,,es-ba9
|GIŠ.BAR|,GIŠ.BAR,gira₂,ATTESTED_DIRECT,OSL,,es-ba15
|GIŠ.DIN|,GIŠ.DIN,geš-tin|wi₅,ATTESTED_DIRECT,OSL,,es-dan5
|GIŠ.DU.TE.A.TUG₂|,GIŠ.DU.TE.A.TUG2,,NO_ATTESTED_READING,,,es-aragub-de4-'u4-azalag2
|GIŠ.DUN₃@g.MAŠ|,GIŠ.DUN3@g.MAŠ,gilgames|gilgameš,ATTESTED_DIRECT,OSL,,es-aga3-ba7
|GIŠ.GAR.UMBIN|,GIŠ.GAR.UMBIN,nisikiₓ,ATTESTED_DIRECT,OSL,,es-ga4-sigx(umbin)
|GIŠ.GIŠ.NE@s.MES.GA|,GIŠ.GIŠ.NE@s.MES.GA,gilgamesₓ|gilgamešₓ,ATTESTED_DIRECT,OSL,,es-es-bel₂-dubx(mes)-ebir4
|GIŠ.KA.KAD₃|,GIŠ.KA.KAD3,kageškaraₓ|kaŋeškaraₓ,ATTESTED_DIRECT,OSL,,es-/eneĝ/-gat3
|GIŠ.KA.KAD₄|,GIŠ.KA.KAD4,kageškaraₓ|kaŋeškaraₓ,ATTESTED_DIRECT,OSL,,es-/eneĝ/-gešhur
|GIŠ.KA.KAD₅|,GIŠ.KA.KAD5,kageškaraₓ|kaŋeškaraₓ,ATTESTED_DIRECT,OSL,,es-/eneĝ/-bansur3
|GIŠ.KI.BI|,GIŠ.KI.BI,gešbunₓ,ATTESTED_DIRECT,OSL,,es-ammax(ki)-be2
|GIŠ.KI.KUŠU₂|,GIŠ.KI.KUŠU2,gešaₓ|ŋešaₓ,ATTESTED_DIRECT,OSL,,es-ammax(ki)-kuš9
|GIŠ.KUL|,GIŠ.KUL,kulₓ|xₓ,ATTESTED_DIRECT,OSL,,es-gu9
|GIŠ.KU|,GIŠ.KU,ŋeštukul₂|tukul₂,ATTESTED_DIRECT,OSL,,es-be5
|GIŠ.KUŠU₂×KASKAL|,GIŠ.KUŠU2×KASKAL,gešaₓ|ŋešaₓ|ummaₓ,ATTESTED_DIRECT,OSL,,
|GIŠ.LU₂|,GIŠ.LU2,ŋešgiriₓ,ATTESTED_DIRECT,OSL,,es-addax(lu2)
|GIŠ.MA₂.RA|,GIŠ.MA2.RA,amra,ATTESTED_DIRECT,OSL,,es-hux(ma2)-ra
|GIŠ.MI|,GIŠ.MI,dimmušₓ?|gissu|gizzu|ŋessu|ŋessun|ŋissu|luhmaₓ|luhumₓ?|luhummu|ṣil₄|ubilla₂,ATTESTED_DIRECT,OSL,,es-dugud2
|GIŠ.NE.MES.GA|,GIŠ.NE.MES.GA,gilgamešₓ,ATTESTED_DIRECT,OSL,,es-bar7-dubx(mes)-ebir4
|GIŠ.NE.PAP|,GIŠ.NE.PAP,bilₓ,ATTESTED_DIRECT,OSL,,es-bar7-aha3
|GIŠ.NE.X.GA.MES|,GIŠ.NE.X.GA.MES,gilgamešₓ,ATTESTED_DIRECT,OSL,,
|GIŠ.NE@s.GA.ME.U.U.U|,GIŠ.NE@s.GA.ME.U.U.U,gilgameš₂,ATTESTED_DIRECT,OSL,,es-bel₂-ebir4-eš17
|GIŠ.NE@s.GA.MES|,GIŠ.NE@s.GA.MES,gilgames₄|gilgameš₄,ATTESTED_DIRECT,OSL,,es-bel₂-ebir4-dubx(mes)
|GIŠ.NE@s.GA|,GIŠ.NE@s.GA,gilgamesₓ|gilgamešₓ,ATTESTED_DIRECT,OSL,,es-bel₂-ebir4
|GIŠ.NE@s.MES.GA|,GIŠ.NE@s.MES.GA,gilgamesₓ|gilgamešₓ,ATTESTED_DIRECT,OSL,,es-bel₂-dubx(mes)-ebir4
|GIŠ.NE|,GIŠ.NE,bil₄|pil₄,ATTESTED_DIRECT,OSL,,es-bar7
|GIŠ.NU₁₁|,GIŠ.NU11,ŋeš-nu₁₁,ATTESTED_DIRECT,OSL,,es-duri
|GIŠ.PAP.NE@s|,GIŠ.PAP.NE@s,bilₓ,ATTESTED_DIRECT,OSL,,es-aha3-bel₂
|GIŠ.PAP.NE|,GIŠ.PAP.NE,bilₓ,ATTESTED_DIRECT,OSL,,es-aha3-bar7
|GIŠ.PAP.PAP|,GIŠ.PAP.PAP,kibirₓ,ATTESTED_DIRECT,OSL,,es-aha3-aha3
|GIŠ.PI.TUG₂.NU₁₁@90|,GIŠ.PI.TUG2.NU11@90,ŋizzal,ATTESTED_DIRECT,OSL,,
|GIŠ.PI|,GIŠ.PI,geštuₓ|ŋeštugₓ,ATTESTED_DIRECT,OSL,,es-a3
|GIŠ.RU|,GIŠ.RU,gešbuₓ?|gešpaₓ?|gešpuₓ?|ŋešbuₓ?|ŋešpaₓ?|ŋešpuₓ?,ATTESTED_DIRECT,OSL,,es-gešba
|GIŠ.SAL.KUR|,GIŠ.SAL.KUR,ummaₓ,ATTESTED_DIRECT,OSL,,es-f-amma
|GIŠ.TAR|,GIŠ.TAR,mišhaš,ATTESTED_DIRECT,OSL,,es-dar6
|GIŠ.TE.A.DU.TUG₂|,GIŠ.TE.A.DU.TUG2,,NO_ATTESTED_READING,,,es-de4-'u4-aragub-azalag2
|GIŠ.TE.A.TUG₂.DU|,GIŠ.TE.A.TUG2.DU,,NO_ATTESTED_READING,,,es-de4-'u4-azalag2-aragub
|GIŠ.TUG₂.DU|,GIŠ.TUG2.DU,azlagₓ,ATTESTED_DIRECT,OSL,,es-azalag2-aragub
|GIŠ.TUG₂.NI|,GIŠ.TUG2.NI,ŋizzalₓ,ATTESTED_DIRECT,OSL,,es-azalag2-be3
|GIŠ.TUG₂.PI.A.SILA₃|,GIŠ.TUG2.PI.A.SILA3,,NO_ATTESTED_READING,,,es-azalag2-a3-'u4-ga5
|GIŠ.TUG₂.PI.NI|,GIŠ.TUG2.PI.NI,gizzalₓ|ŋizzalₓ,ATTESTED_DIRECT,OSL,,es-azalag2-a3-be3
|GIŠ.TUG₂.PI.NU₁₁.SILA₃|,GIŠ.TUG2.PI.NU11.SILA3,ŋizzal,ATTESTED_DIRECT,DIRI,,es-azalag2-a3-duri-ga5
|GIŠ.TUG₂.PI.NU₁₁@90|,GIŠ.TUG2.PI.NU11@90,ŋessal,ATTESTED_DIRECT,OSL,,
|GIŠ.TUG₂.PI.SILA₃.A|,GIŠ.TUG2.PI.SILA3.A,,NO_ATTESTED_READING,,,es-azalag2-a3-ga5-'u4
|GIŠ.TUG₂.PI.TE.A|,GIŠ.TUG2.PI.TE.A,ašlag₅|azalag₅|azlag₅,ATTESTED_DIRECT,OSL,,es-azalag2-a3-de4-'u4
|GIŠ.TUG₂.PI.ŠIR.TAR.GAR₃|,GIŠ.TUG2.PI.ŠIR.TAR.GAR3,,NO_ATTESTED_READING,,,es-azalag2-a3-as5-dar6-gar3
|GIŠ.TUG₂.PI|,GIŠ.TUG2.PI,azlagₓ|gešdu₂|geštu₂|geštug₂|gišdu₂|gištu₂|gištug₂|ŋessalₓ|ŋeštu₂|ŋeštug₂|ŋištu₂|ŋištug₂|muštuₓ|muštugₓ,ATTESTED_DIRECT,OSL,,es-azalag2-a3
|GIŠ.TUG₂.TE.A|,GIŠ.TUG2.TE.A,ašlag₆|azalag₆|azlag₆,ATTESTED_DIRECT,OSL,,es-azalag2-de4-'u4
|GIŠ.TUK.MAŠ|,GIŠ.TUK.MAŠ,gilgamešₓ,ATTESTED_DIRECT,OSL,,es-du12-ba7
|GIŠ.ŠEŠ.KI|,GIŠ.ŠEŠ.KI,munzerₓ,ATTESTED_DIRECT,OSL,,es-ah2-ammax(ki)
|GIŠ.ŠU.LU₂|,GIŠ.ŠU.LU2,ŋeš-giri₁₉,ATTESTED_DIRECT,DIRI,,es-kat7-addax(lu2)
|GIŠ×ERIN₂|,GIŠ×ERIN2,,NO_ATTESTED_READING,,,es-bir3
|GIŠ×EŠ₂@t|,GIŠ×EŠ2@t,,NO_ATTESTED_READING,,,es-ege
|GIŠ×HI|,GIŠ×HI,,NO_ATTESTED_READING,,,es-'i3
|GIŠ×ŠU|,GIŠ×ŠU,,NO_ATTESTED_READING,,,es-kat7
|GI₄.NA.AB.TUM|,GI4.NA.AB.TUM,šutumₓ,ATTESTED_DIRECT,OSL,,ga8-aniku-ab-dam3
|GU%GU.GU%GU|,GU%GU.GU%GU,sishe,ATTESTED_DIRECT,OSL,,saₓ-saₓ
|GU&GU|,GU&GU,,NO_ATTESTED_READING,,,gu-gu
|GU.GU|,GU.GU,,NESTED_IN_LONGER_FORM,,GU%GU.GU%GU,gu-gu
|GU.SUR.NUN|,GU.SUR.NUN,GU.SUR.NUN,ATTESTED_DIRECT,SYLLABARY_CM,,gu-sur-...ri
|GUD&GUD|,GUD&GUD,,NESTED_IN_LONGER_FORM,,GUD&GUD.LUGAL,alap-alap
|GUD.AN.NA|,GUD.AN.NA,lium,ATTESTED_DIRECT,OSL,,alap-/dimer/-aniku
|GUD.BAR|,GUD.BAR,,NO_ATTESTED_READING,,,alap-ba15
|GUD.GIŠ|,GUD.GIŠ,GUD.GIŠ,ATTESTED_DIRECT,SYLLABARY_CM,,alap-es
|GUD.GIŠ×TAK₄.SI|,GUD.GIŠ×TAK4.SI,,NO_ATTESTED_READING,,,
|GUD.KU|,GUD.KU,unuₓ,ATTESTED_DIRECT,OSL,,alap-be5
|GUD×AŠ|,GUD×AŠ,addaₓ,ATTESTED_DIRECT,OSL,,alap-1aš
|GUD×BAD|,GUD×BAD,addaₓ,ATTESTED_DIRECT,OSL,,alap-ba9
|GUD×DIŠ|,GUD×DIŠ,,NO_ATTESTED_READING,,,alap-anₓ
|GUD×HI|,GUD×HI,,NO_ATTESTED_READING,,,alap-'i3
|GUD×KASKAL|,GUD×KASKAL,,NO_ATTESTED_READING,,,alap-bu2
|GUD×UD|,GUD×UD,guduₓ,ATTESTED_DIRECT,OSL,,alap-a12
|GUD×ŠE|,GUD×ŠE,saₓ,ATTESTED_DIRECT,OSL,,alap-ašnan2
|GUL.ZA|,GUL.ZA,,NO_ATTESTED_READING,,,gul-sa3
|GUR×AŠ@c|,GUR×AŠ@c,gurₓ,ATTESTED_DIRECT,OSL,,gur-1aš
|GU×GU@90|,GU×GU@90,,NO_ATTESTED_READING,,,gu-gu
|GU₂.KAK|,GU2.KAK,,NO_ATTESTED_READING,,,gu2-ban4
|GU₂.KALAM@g|,GU2.KALAM@g,biltu|gun,ATTESTED_DIRECT,OSL,,gu2-kalam
|GU₂.KAM₄|,GU2.KAM4,,NO_ATTESTED_READING,,,gu2-gam3
|GU₂.NUNUZ|,GU2.NUNUZ,nida,ATTESTED_DIRECT,OSL,,gu2-nunu
|GU₂.NUN|,GU2.NUN,,NESTED_IN_LONGER_FORM,,GU2.NUNUZ,gu2-...ri
|GU₂×AŠ₂|,GU2×AŠ2,,NO_ATTESTED_READING,,,gu2-as2
|GU₂×GAD|,GU2×GAD,,NO_ATTESTED_READING,,,gu2-gad
|GU₂×IGI@g|,GU2×IGI@g,,NO_ATTESTED_READING,,,gu2-agar4
|GU₂×IGI|,GU2×IGI,,NO_ATTESTED_READING,,,gu2-bad5
|GU₂×KAK.GIŠ%GIŠ|,GU2×KAK.GIŠ%GIŠ,duran?|turan?,ATTESTED_DIRECT,OSL,,dur-adamen₃
|GU₂×KAK.IGI|,GU2×KAK.IGI,,NO_ATTESTED_READING,,,dur-bad5
|GU₂×PAP|,GU2×PAP,,NO_ATTESTED_READING,,,gu2-aha3
|GU₂×PA|,GU2×PA,,NO_ATTESTED_READING,,,gu2-addirx(pa)
|HA.A.DU|,HA.A.DU,,NO_ATTESTED_READING,,,'a4-'u4-aragub
|HA.A.TAR.DU|,HA.A.TAR.DU,,NO_ATTESTED_READING,,,'a4-'u4-dar6-aragub
|HA.A.TAR|,HA.A.TAR,,NO_ATTESTED_READING,,,'a4-'u4-dar6
|HA.A.UR₂|,HA.A.UR2,kuaraₓ,ATTESTED_DIRECT,OSL,,'a4-'u4-ur2
|HA.A|,HA.A,kuar|kuara|sah₆|saha₆|zah₂|zaha₂,ATTESTED_DIRECT,OSL,,'a4-'u4
|HA.DU|,HA.DU,,NO_ATTESTED_READING,,,'a4-aragub
|HA.LU.EŠ₂|,HA.LU.EŠ2,{ŋeš}HA-LU-EŠ₂,ATTESTED_DIRECT,DIRI,,'a4-eze-ege
|HA.MUŠ.A.DU|,HA.MUŠ.A.DU,,NO_ATTESTED_READING,,,'a4-imdudu-'u4-aragub
|HA.MUŠ.DU|,HA.MUŠ.DU,,NO_ATTESTED_READING,,,'a4-imdudu-aragub
|HA.NAGAR.BU|,HA.NAGAR.BU,dulluₓ,ATTESTED_DIRECT,OSL,,'a4-alla-bu
|HA.TAR.A.DU|,HA.TAR.A.DU,,NO_ATTESTED_READING,,,'a4-dar6-'u4-aragub
|HA.TAR.DU|,HA.TAR.DU,,NO_ATTESTED_READING,,,'a4-dar6-aragub
|HA.ZAG|,HA.ZAG,enkuₓ,ATTESTED_DIRECT,OSL,,'a4-bute
|HA@g.TAR.A.DU|,HA@g.TAR.A.DU,,NO_ATTESTED_READING,,,bis2-dar6-'u4-aragub
|HA@g.TAR.DU|,HA@g.TAR.DU,,NO_ATTESTED_READING,,,bis2-dar6-aragub
|HA@t×TIL|,HA@t×TIL,,NO_ATTESTED_READING,,,ha@t-sumun
|HI+AŠ.NUN.ME|,HI+AŠ.NUN.ME,,NO_ATTESTED_READING,,,'i3-1aš-...ri-ba13
|HI+AŠ₂.SAG|,HI+AŠ2.SAG,,NO_ATTESTED_READING,,,'i3-as2-dul7
|HI+NUN.ME|,HI+NUN.ME,,NO_ATTESTED_READING,,,'i3-...ri-ba13
|HI+NUN|,HI+NUN,,NO_ATTESTED_READING,,,'i3-...ri
|HI.A|,HI.A,ha₂,ATTESTED_DIRECT,OSL,,'i3-'u4
|HI.AŠ.RI.ME|,HI.AŠ.RI.ME,,NO_ATTESTED_READING,,,'i3-1aš-bagx(ri)-ba13
|HI.AŠ.RI|,HI.AŠ.RI,,NO_ATTESTED_READING,,,'i3-1aš-bagx(ri)
|HI.AŠ|,HI.AŠ,,NO_ATTESTED_READING,,,'i3-1aš
|HI.AŠ₂|,HI.AŠ2,,NO_ATTESTED_READING,,,'i3-as2
|HI.BAD|,HI.BAD,,NO_ATTESTED_READING,,,'i3-ba9
|HI.HU|,HI.HU,,NO_ATTESTED_READING,,,'i3-'u5
|HI.KASKAL|,HI.KASKAL,,NO_ATTESTED_READING,,,'i3-bu2
|HI.KISIM₅×SA|,HI.KISIM5×SA,,NO_ATTESTED_READING,,,
|HI.SUHUR|,HI.SUHUR,,NESTED_IN_LONGER_FORM,,|GA2~a1x(HI.SUHUR)|; |HI.SUHUR|,'i3-suh2
|HI.ŠE+SAR.ZU&ZU|,HI.ŠE+SAR.ZU&ZU,,NO_ATTESTED_READING,,,
|HI@g×BAD|,HI@g×BAD,,NO_ATTESTED_READING,,,'i3-ba9
|HI@g×GAD|,HI@g×GAD,,NO_ATTESTED_READING,,,'i3-gad
|HI×AŠ@c|,HI×AŠ@c,,NO_ATTESTED_READING,,,'i3-1aš
|HI×AŠ@t|,HI×AŠ@t,,NO_ATTESTED_READING,,,'i3-1(aš@t)
|HI×AŠ|,HI×AŠ,ehₓ|kaz₈|kazaza|mul₃|muš₄|sur₃|udulₓ|uš₁₇|ušša|zinanutu,ATTESTED_DIRECT,OGSL,,'i3-'i3-1aš-1aš
|HI×AŠ₂.DU|,HI×AŠ2.DU,ur₅-ša₄|urša,ATTESTED_DIRECT,OSL,,ar3-aragub
|HI×AŠ₂.HI×AŠ₂|,HI×AŠ2.HI×AŠ2,ara₅|kikken₂|kikkin₂|kinkin₂,ATTESTED_DIRECT,OSL,,ar3-ar3
|HI×AŠ₂.KA×GAR|,HI×AŠ2.KA×GAR,ur₅-gu₇|urgu,ATTESTED_DIRECT,OSL,,ar3-gu7
|HI×BAD|,HI×BAD,du₁₅|eriš₆|gam₂|gama₂?|hud₃|ka₁₃|kam|kama|qam₂|tu₇|udul₂?|utul₂,ATTESTED_DIRECT,OSL,,'i3-ba9
|HI×BAD×U|,HI×BAD×U,,NO_ATTESTED_READING,,,'i3-ba9-1u
|HI×DIŠ|,HI×DIŠ,as₆|aš₈|kamₓ|šardiš|šargalₓ|šarŋeš|umma₂|utulₓ,ATTESTED_DIRECT,OGSL,,'i3-'i3-anₓ-anₓ
|HI×GAN₂@t|,HI×GAN2@t,,NO_ATTESTED_READING,,,'i3-gan2@t
|HI×HAL|,HI×HAL,,NO_ATTESTED_READING,,,'i3-buluh
|HI×HI|,HI×HI,,NO_ATTESTED_READING,,,'i3-'i3
|HI×KUR|,HI×KUR,,NO_ATTESTED_READING,,,'i3-amma
|HI×KUŠU₂|,HI×KUŠU2,,NO_ATTESTED_READING,,,'i3-kuš9
|HI×MAŠ|,HI×MAŠ,,NO_ATTESTED_READING,,,'i3-'i3-'i3-ba7-ba7-ba7
|HI×NUN.HI×NUN|,HI×NUN.HI×NUN,uhₓ,ATTESTED_DIRECT,OSL,,a'2-a'2
|HI×NUN.ME.BAD|,HI×NUN.ME.BAD,,NO_ATTESTED_READING,,,a'2-ba13-ba9
|HI×NUN.ME.U|,HI×NUN.ME.U,HI×NUN.ME.U|LUHŠA|LUHŠU|ULU2|luhša|luhšu|ulu2,ATTESTED_DIRECT,SYLLABARY_CM,,a'2-ba13-1u
|HI×PAP|,HI×PAP,,NO_ATTESTED_READING,,,'i3-aha3
|HI×PA|,HI×PA,,NO_ATTESTED_READING,,,'i3-addirx(pa)
|HI×SAR|,HI×SAR,,NO_ATTESTED_READING,,,'i3-kiri6
|HI×U|,HI×U,ellaŋₓ,ATTESTED_DIRECT,OSL,,'i3-'i3-1u-1u
|HI×ZI₃|,HI×ZI3,,NO_ATTESTED_READING,,,'i3-gurux(zi3)
|HU.ERIN₂|,HU.ERIN2,,NO_ATTESTED_READING,,,'u5-bir3
|HU.KAK|,HU.KAK,usanda|usandu,ATTESTED_DIRECT,OSL,,'u5-ban4
|HU.MA₂|,HU.MA2,,NO_ATTESTED_READING,,,'u5-hux(ma2)
|HU.MI.AN.IM|,HU.MI.AN.IM,anzuₓ,ATTESTED_DIRECT,OSL,,'u5-dugud2-/dimer/-adad
|HU.ŠE.ERIN₂|,HU.ŠE.ERIN2,BUR5|HU.ŠE.ERIN2|bur5,ATTESTED_DIRECT,SYLLABARY_CM,,'u5-ašnan2-bir3
|HUB₂.DU|,HUB2.DU,rig₉,ATTESTED_DIRECT,OSL,,dux(hub2)-aragub
|I.DIB|,I.DIB,kuŋₓ,ATTESTED_DIRECT,OSL,,i-dab
|I.LU|,I.LU,kuŋ₄|kun₄,ATTESTED_DIRECT,OSL,,i-eze
|I.LU₂@s.NA|,I.LU2@s.NA,arinaₓ,ATTESTED_DIRECT,OSL,,i-ad₇-aniku
|IGI.A|,IGI.A,ahhur?|imhur₄|uₓ|uhhur₃,ATTESTED_DIRECT,OSL,,bad5-'u4
|IGI.BI|,IGI.BI,imhur₂|uhhur?,ATTESTED_DIRECT,OSL,,bad5-be2
|IGI.BUR|,IGI.BUR,,NO_ATTESTED_READING,,,bad5-bur
|IGI.BU|,IGI.BU,igira?,ATTESTED_DIRECT,OSL,,bad5-bu
|IGI.DIM|,IGI.DIM,henzer|henzir|ubri₂,ATTESTED_DIRECT,OSL,,bad5-di11
|IGI.DUB|,IGI.DUB,agrig|aŋrig|geškim|giskim|giškim|gizkim|ŋešgem|ŋeškim|ŋiskim|ŋiškim|iskim|izkim,ATTESTED_DIRECT,OSL,,bad5-dab4
|IGI.DUN|,IGI.DUN,sigₓ,ATTESTED_DIRECT,OSL,,bad5-du24
|IGI.DU|,IGI.DU,ašarid|%akk ašaridu|gešdu₄|geštu₄|igeštu|igištu|mahra|%akk mahruₓ|palil,ATTESTED_DIRECT,OSL,,bad5-aragub
|IGI.ERIN₂|,IGI.ERIN2,buruₓ|burumₓ|damiqₓ|guruₓ|gurum₂|kur₇|kuru₇|kurum₇|sa₁₃|sag₁₀|saga₁₀|seg₅|sig₅|ša₁₅?|šiₓ,ATTESTED_DIRECT,OSL,,bad5-bir3
|IGI.EŠ₂.DU.ERIN₂|,IGI.EŠ2.DU.ERIN2,ildu|ildum|ilduma|ildumma|palil₂|pallilₓ,ATTESTED_DIRECT,OSL,,bad5-ege-aragub-bir3
|IGI.EŠ₂.DU|,IGI.EŠ2.DU,geštuₓ,ATTESTED_DIRECT,OSL,,bad5-ege-aragub
|IGI.GAN₂@t|,IGI.GAN2@t,gurumₓ,ATTESTED_DIRECT,OSL,,bad5-gan2@t
|IGI.GAR|,IGI.GAR,gurumₓ|sikkuₓ,ATTESTED_DIRECT,OSL,,bad5-ga4
|IGI.GA|,IGI.GA,imhur₃|uhhur₂?,ATTESTED_DIRECT,OSL,,bad5-ebir4
|IGI.IB|,IGI.IB,,NO_ATTESTED_READING,,,bad5-arkabx(ib)
|IGI.IGI|,IGI.IGI,dabda?|lalla₂|lelle|lelli|lilib|lilli|pabadₓ|papadₓ,ATTESTED_DIRECT,OSL,,bad5-bad5
|IGI.KID|,IGI.KID,,NO_ATTESTED_READING,,,bad5-buru6
|IGI.KISAL|,IGI.KISAL,,NO_ATTESTED_READING,,,bad5-bur6
|IGI.KIŠ|,IGI.KIŠ,,NO_ATTESTED_READING,,,bad5-erraₓ
|IGI.KUR.ZA|,IGI.KUR.ZA,ganzer|ganzir,ATTESTED_DIRECT,OSL,,bad5-amma-sa3
|IGI.KUR|,IGI.KUR,ganzer₃|ganzir₃|halib|hilib|xlukuₓ,ATTESTED_DIRECT,OSL,,bad5-amma
|IGI.LAGAB|,IGI.LAGAB,,NO_ATTESTED_READING,,,bad5-ella2
|IGI.LU.GIR₃|,IGI.LU.GIR3,,NO_ATTESTED_READING,,,bad5-eze-anše2
|IGI.LU|,IGI.LU,u₃|libir(|IGI.LU|),ATTESTED_DIRECT,DIRI,,bad5-eze
|IGI.MAR|,IGI.MAR,ubriₓ,ATTESTED_DIRECT,OSL,,bad5-gar7
|IGI.MIN|,IGI.MIN,ini₄|%akk/n īnu{II},ATTESTED_DIRECT,OSL,,bad5-menx(min)
|IGI.NAGAR.BU|,IGI.NAGAR.BU,dulum|ildu₂|ildum₂|ilduma₂|ildumma₂,ATTESTED_DIRECT,OSL,,bad5-alla-bu
|IGI.NAGAR.ŠIR|,IGI.NAGAR.ŠIR,dulumaₓ,ATTESTED_DIRECT,OSL,,bad5-alla-as5
|IGI.NISAG|,IGI.NISAG,,NO_ATTESTED_READING,,,bad5-mur2
|IGI.NI|,IGI.NI,,NO_ATTESTED_READING,,,bad5-be3
|IGI.PA|,IGI.PA,paₓ,ATTESTED_DIRECT,OSL,,bad5-addirx(pa)
|IGI.RU|,IGI.RU,pa₃|pad₃,ATTESTED_DIRECT,OSL,,bad5-gešba
|IGI.SUHUR|,IGI.SUHUR,,NO_ATTESTED_READING,,,bad5-suh2
|IGI.TUR|,IGI.TUR,ligimaₓ,ATTESTED_DIRECT,OSL,,bad5-ban3
|IGI.UD|,IGI.UD,,NO_ATTESTED_READING,,,bad5-a12
|IGI.UR.RU.GAR|,IGI.UR.RU.GAR,hulpad?,ATTESTED_DIRECT,OSL,,bad5-a8-gešba-ga4
|IGI.UR.SAR|,IGI.UR.SAR,isimudₓ,ATTESTED_DIRECT,OSL,,bad5-a8-kiri6
|IGI.UR@s|,IGI.UR@s,hul₄,ATTESTED_DIRECT,OSL,,bad5-dul₉
|IGI.UR|,IGI.UR,hul|hula|hulu,ATTESTED_DIRECT,OSL,,bad5-a8
|IGI.ZA.MUŠ₃@g|,IGI.ZA.MUŠ3@g,ištaranₓ,ATTESTED_DIRECT,OSL,,bad5-sa3-muš2
|IGI.ZI|,IGI.ZI,agrigₓ,ATTESTED_DIRECT,OSL,,bad5-se2
|IGI@g.ALAN|,IGI@g.ALAN,sa₇-alan|salamₓ|ukdin|uktim|uktin|uludim₂|uludin₂|ulutim₂|ulutin₂,ATTESTED_DIRECT,OSL,,agar4-al2
|IGI@g.EN.NUN.ME.EZEN×KASKAL|,IGI@g.EN.NUN.ME.EZEN×KASKAL,,NO_ATTESTED_READING,,,agar4-adx(en)-...ri-ba13-asilax(
|IGI@g.IGI@g|,IGI@g.IGI@g,immaₓ|ubriₓ,ATTESTED_DIRECT,OSL,,agar4-agar4
|IGI@g.PAP.NUN.ME|,IGI@g.PAP.NUN.ME,,NO_ATTESTED_READING,,,agar4-aha3-...ri-ba13
|IGI@g.PAP|,IGI@g.PAP,kumₓ?,ATTESTED_DIRECT,OSL,,agar4-aha3
|IGI@g.TAK₄.ALAN|,IGI@g.TAK4.ALAN,sermuššu?|sirmuššu|zermušku|zermuššu|zirmuššu?,ATTESTED_DIRECT,OSL,,agar4-azad2-al2
|IGI×A|,IGI×A,šeₓ,ATTESTED_DIRECT,OSL,,bad5-'u4
|IL₂.DUB₂|,IL2.DUB2,sagga₄|saŋa₄|saŋŋa₄|sanga₄|sangu₄,ATTESTED_DIRECT,OSL,,dupsik-dim5
|IL₂.IL₂|,IL2.IL2,,NO_ATTESTED_READING,,,dupsik-dupsik
|IL₂.KID.DUB₂|,IL2.KID.DUB2,saŋaₓ,ATTESTED_DIRECT,OSL,,dupsik-buru6-dim5
|IL₂.MA₂.DUB₂|,IL2.MA2.DUB2,sagga₂|saŋŋa₂|sangu₂,ATTESTED_DIRECT,OSL,,dupsik-hux(ma2)-dim5
|IL₂.MA₂.IGI@g|,IL2.MA2.IGI@g,sagga₃|saŋa₃|saŋŋa₃|sanga₃|sangu₃,ATTESTED_DIRECT,OSL,,dupsik-hux(ma2)-agar4
|IM&IM|,IM&IM,aŋar₅|dalhamun₆|mermeri₃,ATTESTED_DIRECT,OSL,,adad-adad-adad-adad
